height,bip158_bytes
711492,37333
711493,7084
711494,24427
711495,13059
711496,8992
711497,26246
711498,11373
711499,35787
711500,36132
711501,7602
711502,25555
711503,6952
711504,6969
711505,7341
711506,31099
711507,1211
711508,12065
711509,6652
711510,5190
711511,23640
711512,34390
711513,27646
711514,33381
711515,32467
711516,10978
711517,5999
711518,3369
711519,8640
711520,3659
711521,17084
711522,2660
711523,5997
711524,3711
711525,4359
711526,31178
711527,36877
711528,13515
711529,7906
711530,37540
711531,10973
711532,19192
711533,41831
711534,11204
711535,20161
711536,17616
711537,28545
711538,37132
711539,42859
711540,23157
711541,23679
711542,7250
711543,33522
711544,1391
711545,11549
711546,16127
711547,20198
711548,22752
711549,36379
711550,37080
711551,37767
711552,22090
711553,3132
711554,36667
711555,38867
711556,41102
711557,36020
711558,20113
711559,27878
711560,42130
711561,36667
711562,25265
711563,34126
711564,779
711565,20556
711566,15620
711567,36064
711568,4991
711569,23641
711570,35297
711571,32327
711572,4353
711573,42001
711574,42680
711575,34432
711576,33227
711577,35349
711578,42871
711579,34269
711580,38262
711581,27916
711582,23659
711583,21158
711584,22466
711585,12320
711586,8871
711587,40488
711588,36717
711589,13395
711590,7482
711591,30116
711592,34020
711593,4500
711594,426
711595,11589
711596,6803
711597,6012
711598,41100
711599,31896
711600,21228
711601,564
711602,17786
711603,1763
711604,35416
711605,39001
711606,22352
711607,13422
711608,19408
711609,11062
711610,49075
711611,25200
711612,1899
711613,37579
711614,38615
711615,11179
711616,12892
711617,27844
711618,5094
711619,17903
711620,5387
711621,22467
711622,29571
711623,22707
711624,10872
711625,34310
711626,6435
711627,2081
711628,604
711629,6947
711630,26610
711631,2594
711632,23050
711633,4807
711634,21855
711635,5563
711636,22983
711637,1373
711638,16335
711639,18394
711640,35219
711641,34745
711642,16756
711643,36078
711644,27885
711645,6538
711646,4503
711647,14742
711648,14343
711649,19403
711650,9301
711651,36767
711652,35389
711653,34285
711654,35020
711655,34864
711656,26914
711657,31778
711658,28391
711659,29560
711660,29026
711661,34493
711662,35005
711663,30425
711664,37362
711665,34402
711666,45602
711667,33672
711668,27449
711669,30768
711670,37293
711671,36033
711672,37042
711673,24365
711674,30760
711675,31149
711676,32767
711677,36911
711678,34314
711679,28870
711680,22831
711681,25080
711682,5650
711683,30620
711684,17882
711685,3532
711686,17491
711687,12960
711688,9902
711689,3076
711690,11645
711691,1676
711692,10230
711693,13955
711694,8353
711695,11998
711696,23858
711697,18610
711698,15892
711699,16445
711700,15493
711701,7500
711702,14051
711703,35203
711704,8948
711705,17371
711706,137
711707,16486
711708,4373
711709,1827
711710,39038
711711,40347
711712,31217
711713,33743
711714,38298
711715,2515
711716,17555
711717,38240
711718,38346
711719,14915
711720,38127
711721,36923
711722,38461
711723,33516
711724,29029
711725,29515
711726,5285
711727,18909
711728,6868
711729,10583
711730,41481
711731,18931
711732,10407
711733,1493
711734,38183
711735,25510
711736,27230
711737,22859
711738,648
711739,41338
711740,29422
711741,37670
711742,10889
711743,14991
711744,18519
711745,253
711746,34658
711747,18321
711748,9690
711749,36624
711750,10519
711751,31730
711752,24876
711753,3449
711754,3372
711755,7068
711756,22924
711757,26554
711758,6379
711759,28625
711760,8912
711761,14665
711762,23143
711763,38979
711764,28256
711765,18026
711766,18326
711767,4488
711768,7429
711769,17510
711770,33136
711771,30314
711772,32671
711773,20599
711774,2053
711775,16253
711776,7853
711777,2352
711778,33472
711779,32257
711780,30169
711781,33271
711782,27712
711783,33153
711784,35778
711785,32275
711786,33132
711787,30094
711788,34497
711789,8631
711790,10322
711791,29983
711792,32069
